main_table_second
;group;gpa;cheat;sex;cheat_formal;cheat_informal;gpa_formal;gpa_informal
0;БЭК181;9.71;0.0;0;1.5;1.8333333333333333;8.879999999999999;7.223333333333333
1;БЭК181;9.19;1.0;0;0.8571428571428571;0.8;8.17;7.444
2;БЭК181;9.22;1.0;1;1.0;1.0;8.8475;8.940000000000001
3;БЭК181;7.82;2.0;1;1.2857142857142856;1.2857142857142856;8.295714285714286;8.295714285714286
4;БЭК181;7.66;2.0;0;0.5;0.6666666666666666;8.73;7.82
5;БЭК181;7.08;1.0;1;1.0;1.0;7.340000000000001;7.340000000000001
6;БЭК181;8.49;1.0;1;1.5;2.5;8.129999999999999;7.15
7;БЭК181;8.14;1.0;1;1.0;1.4999999999999998;8.594000000000001;8.42
8;БЭК181;9.21;1.0;1;1.0;0.6666666666666666;9.1425;8.184999999999999
9;БЭК181;8.39;1.0;0;1.2857142857142856;1.5;8.568571428571428;8.378333333333334
10;БЭК181;8.32;1.0;1;1.5;1.1428571428571428;8.406666666666666;7.697142857142857
11;БЭК181;8.62;2.0;1;1.1428571428571428;1.3333333333333333;8.89;8.765
12;БЭК181;9.32;2.0;0;1.3333333333333333;1.1666666666666665;8.353333333333333;8.455
13;БЭК181;6.97;1.0;0;0.6666666666666666;1.0;8.223333333333333;7.48
14;БЭК181;8.05;1.0;0;1.25;1.1666666666666667;8.9925;8.455
15;БЭК181;7.27;1.0;0;1.5;0.3333333333333333;8.2825;8.139999999999999
16;БЭК181;8.92;0.0;0;0.5;0.5;8.379999999999999;7.31
17;БЭК1810;8.23;0.0;0;1.6;1.9999999999999998;7.202000000000001;7.466666666666667
18;БЭК1810;6.59;0.0;1;0.8;0.75;6.44;6.234999999999999
19;БЭК1810;7.97;3.0;0;1.6;0.6666666666666666;6.912000000000001;5.64
20;БЭК1810;6.65;2.0;1;1.0;1.3333333333333333;7.0075;6.539999999999999
21;БЭК1810;7.54;3.0;0;0.8;0.25;8.114;7.1499999999999995
22;БЭК1810;7.26;1.0;0;0.6666666666666666;0.5;7.0;7.325
23;БЭК1810;7.35;0.0;0;1.3333333333333333;0.6666666666666666;6.9833333333333325;7.506666666666666
24;БЭК1810;6.26;2.0;1;0.5;0.5;5.9775;5.9775
25;БЭК1810;5.31;0.0;0;0.5;0.8;7.109999999999999;6.756
26;БЭК1810;6.09;0.0;1;0.7142857142857142;0.375;7.0685714285714285;6.3225
27;БЭК1810;6.29;4.0;1;3.0;4.0;5.260000000000001;4.9833333333333325
28;БЭК1810;7.09;0.0;0;1.3333333333333333;1.0;8.273333333333333;6.313333333333333
29;БЭК1810;5.79;1.0;0;0.9999999999999999;0.6666666666666666;7.082857142857143;8.086666666666666
30;БЭК1810;7.97;1.0;0;1.0;0.6666666666666666;7.9575;7.59
31;БЭК1810;6.32;1.0;0;0.25;0.6666666666666666;6.999999999999999;6.566666666666666
32;БЭК1810;5.12;4.0;0;4.0;4.0;5.373333333333333;5.373333333333333
33;БЭК1810;5.76;1.0;0;1.0;0.6666666666666666;7.3149999999999995;7.329999999999999
34;БЭК1810;6.35;1.0;0;0.3333333333333333;0.5;6.176666666666666;5.97
35;БЭК1810;5.12;4.0;0;4.0;4.0;5.373333333333333;5.373333333333333
36;БЭК1810;6.5;2.0;1;1.0;1.3333333333333333;6.715;6.59
37;БЭК1811;8.67;1.0;0;1.25;1.3333333333333333;9.057500000000001;9.016666666666666
38;БЭК1811;8.17;2.0;0;1.25;1.4000000000000001;8.96;7.82
39;БЭК1811;8.06;1.0;1;2.0;2.333333333333333;7.4;6.409999999999999
40;БЭК1811;7.41;3.0;1;2.0;1.5;8.043333333333333;8.565
41;БЭК1811;6.88;1.0;0;1.0;1.3333333333333333;7.984999999999999;8.196666666666665
42;БЭК1811;6.79;1.0;0;1.6;1.0;8.136;7.743333333333332
43;БЭК1811;9.51;2.0;0;0.5;1.6666666666666665;8.842500000000001;7.688333333333333
44;БЭК1811;7.79;3.0;0;2.9999999999999996;3.333333333333333;8.586666666666666;7.466666666666666
45;БЭК1811;5.18;3.0;0;1.75;2.333333333333333;8.094999999999999;6.409999999999999
46;БЭК1811;8.29;1.0;1;1.6666666666666665;2.0;8.783333333333331;7.036666666666665
47;БЭК1811;7.0;3.0;1;2.0;2.3333333333333335;6.859999999999999;6.14
48;БЭК1811;9.34;0.0;1;2.0;2.333333333333333;8.476;7.126666666666666
49;БЭК1811;6.15;3.0;0;1.75;1.6;8.5775;8.526
50;БЭК1812;7.0;3.0;1;1.75;2.0;6.3825;5.955
51;БЭК1812;6.26;3.0;1;2.0;2.0;6.955;6.325
52;БЭК1812;4.87;3.0;0;0.75;1.0;7.865;8.25
53;БЭК1812;7.83;0.0;1;1.25;2.0;7.232500000000001;6.28
54;БЭК1812;9.66;1.0;0;0.75;1.1666666666666665;7.8675;7.543333333333333
55;БЭК1812;6.71;0.0;1;0.6666666666666666;0.5;7.971666666666666;7.69
56;БЭК1812;5.32;4.0;0;2.2;3.666666666666666;6.048;5.753333333333334
57;БЭК1812;7.69;1.0;1;0.8;1.0;8.298;8.906666666666666
58;БЭК1812;9.37;1.0;0;1.2;2.0;7.852;7.923333333333333
59;БЭК1812;7.82;0.0;1;1.2;0.5;7.852;7.76
60;БЭК1812;9.24;2.0;0;1.2;1.25;8.632000000000001;7.9325
61;БЭК1812;6.09;0.0;1;0.5;0.3333333333333333;7.9575;7.6933333333333325
62;БЭК182;5.07;1.0;0;2.5;3.0;7.174999999999999;6.589999999999999
63;БЭК182;8.03;2.0;1;2.25;2.25;7.725;7.7250000000000005
64;БЭК182;7.12;2.0;1;1.75;2.0;8.4525;7.973333333333333
65;БЭК182;7.85;2.0;1;2.0;2.0;7.9075;7.574999999999999
66;БЭК182;9.89;1.0;0;2.25;2.0;8.2225;7.115
67;БЭК182;6.59;1.0;0;0.5;1.0;7.905000000000001;7.91
68;БЭК1814;6.88;1.0;0;1.6666666666666665;1.5;6.619999999999999;7.011
69;БЭК182;6.59;3.0;1;1.5;1.5;8.355;8.205
70;БЭК182;7.29;4.0;0;2.1666666666666665;1.5;6.626666666666666;6.0925
71;БЭК182;8.32;0.0;0;1.6;1.0;7.536000000000001;6.833333333333333
72;БЭК182;8.18;1.0;1;1.75;1.9999999999999998;8.0175;7.586666666666666
73;БЭК182;8.31;2.0;0;1.5;1.6666666666666665;7.625;6.869999999999999
74;БЭК183;5.37;0.0;0;2.2000000000000006;0.3333333333333333;7.3660000000000005;8.036666666666665
75;БЭК183;4.62;0.0;0;2.8000000000000003;4.333333333333333;6.194000000000001;6.186666666666666
76;БЭК183;8.71;2.0;1;1.25;1.25;7.765;7.355
77;БЭК184;7.06;1.0;1;1.25;1.0;6.795;6.8133333333333335
78;БЭК183;7.06;0.0;0;1.75;1.75;5.59;5.59
79;БЭК183;7.43;0.0;0;0.75;0.0;7.6175;7.176666666666666
80;БЭК183;8.15;2.0;1;2.0;1.25;8.065000000000001;7.495
81;БЭК183;5.86;0.0;0;1.6;2.6666666666666665;6.992000000000001;6.313333333333333
82;БЭК183;5.0;6.0;0;2.0;1.0;6.646000000000001;5.886666666666667
83;БЭК183;6.03;6.0;0;2.5;2.6000000000000005;6.7475000000000005;6.8340000000000005
84;БЭК183;7.53;1.0;1;1.5;1.0;7.8125;7.06
85;БЭК183;7.18;3.0;1;3.4000000000000004;4.0;7.23;6.5649999999999995
86;БЭК184;7.56;0.0;0;0.6000000000000001;0.3333333333333333;7.968000000000001;7.573333333333333
87;БЭК184;8.71;5.0;0;2.5;2.75;6.842499999999999;6.435
88;БЭК184;7.23;1.0;0;1.0;0.8;7.466;7.738
89;БЭК184;7.51;1.0;0;0.25;0.3333333333333333;8.059999999999999;8.059999999999999
90;БЭК184;8.85;0.0;1;1.25;0.5;7.5075;8.030000000000001
91;БЭК184;8.15;0.0;1;2.0;2.6666666666666665;7.112;6.806666666666666
92;БЭК184;6.46;3.0;1;0.75;1.0;7.819999999999999;7.476666666666667
93;БЭК184;8.06;0.0;0;1.5;2.0;7.6000000000000005;6.845000000000001
94;БЭК184;6.68;5.0;1;2.0;2.0;8.16;8.16
95;БЭК184;8.09;2.0;0;1.8571428571428568;1.875;7.952857142857142;7.365
96;БЭК184;6.23;2.0;1;0.5;0.75;7.6975;7.0
97;БЭК184;7.91;1.0;0;0.75;0.6000000000000001;7.5024999999999995;7.79
98;БЭК185;8.23;1.0;1;1.8333333333333333;1.0;7.638333333333334;7.62
99;БЭК185;6.41;6.0;0;0.6666666666666666;1.0;7.676666666666666;8.413333333333334
100;БЭК185;6.35;4.0;1;2.6000000000000005;2.75;7.0;6.355
101;БЭК185;8.15;1.0;1;1.5;1.3333333333333333;7.779999999999999;7.923333333333333
102;БЭК185;9.0;1.0;0;2.0;2.6666666666666665;6.984;4.676666666666667
103;БЭК185;8.09;0.0;0;0.8333333333333333;0.75;7.5233333333333325;7.342499999999999
104;БЭК185;7.53;1.0;1;1.2000000000000002;0.5;7.618;8.120000000000001
105;БЭК185;7.74;2.0;1;1.25;2.333333333333333;6.5;5.863333333333332
106;БЭК185;4.41;2.0;0;2.0;2.0;7.647500000000001;7.647500000000001
107;БЭК185;6.85;2.0;0;1.2000000000000002;1.0;7.946000000000001;8.0
108;БЭК185;7.35;2.0;1;1.4000000000000001;1.4000000000000001;7.036;7.0360000000000005
109;БЭК185;7.68;1.0;1;0.5;0.0;6.9975000000000005;5.626666666666667
110;БЭК186;5.24;1.0;0;1.0;1.25;7.482;5.7425
111;БЭК186;6.0;0.0;1;1.0;1.25;6.7766666666666655;7.01
112;БЭК186;7.56;2.0;0;0.8571428571428571;1.0;8.36;7.903333333333332
113;БЭК186;5.03;1.0;1;0.8;0.5;7.422000000000001;5.92
114;БЭК186;7.91;1.0;0;0.6000000000000001;0.0;8.612000000000002;7.533333333333333
115;БЭК186;5.0;1.0;0;1.0;1.0;7.5675;7.5675
116;БЭК186;6.47;2.0;0;1.4000000000000001;1.3333333333333333;7.13;6.516666666666666
117;БЭК186;6.29;2.0;1;1.0;1.3333333333333333;7.566000000000001;5.806666666666667
118;БЭК186;8.83;1.0;0;0.8;1.3333333333333333;7.406000000000001;7.803333333333333
119;БЭК186;7.03;0.0;0;1.0;0.8;8.763333333333334;7.796000000000001
120;БЭК186;8.97;0.0;1;1.1666666666666665;2.0;7.118333333333334;6.716666666666667
121;БЭК186;7.94;1.0;0;1.0;1.6666666666666665;7.641666666666666;6.333333333333333
122;БЭК186;8.26;1.0;1;1.0;1.0;8.224;8.22
123;БЭК186;6.15;5.0;0;1.75;3.0;6.2725;5.970000000000001
